Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2012-10-14, Cowboys, 227, 42, 254, 36, 25, 13, 82, 0, 1, 30, 15, 8, 2, 2, 2403, 29, Ravens, 86, 22, 230, 26, 17, 10, 76, 0, 0, 19, 10, 6, 0, 0, 1197, 31
2012-10-14, Vikings, 94, 24, 327, 52, 35, 5, 29, 1, 2, 27, 17, 8, 1, 1, 1892, 26, Redskins, 183, 32, 178, 22, 17, 7, 66, 0, 1, 20, 12, 6, 1, 1, 1708, 38
2012-10-14, Giants, 149, 37, 193, 28, 15, 2, 20, 0, 0, 19, 15, 5, 0, 0, 1935, 26, 49ers, 80, 17, 234, 37, 23, 6, 35, 0, 3, 14, 14, 4, 2, 0, 1665, 3
2012-10-14, Packers, 99, 31, 328, 37, 24, 4, 51, 0, 0, 25, 14, 5, 1, 0, 1679, 42, Texans, 90, 28, 231, 38, 22, 7, 69, 0, 3, 23, 12, 5, 0, 0, 1921, 24
2012-10-14, Patriots, 87, 26, 388, 58, 36, 6, 80, 0, 2, 26, 18, 8, 1, 0, 2040, 23, Seahawks, 85, 26, 283, 27, 16, 4, 35, 2, 0, 17, 12, 4, 2, 1, 1560, 24
2012-10-15, Broncos, 56, 22, 309, 30, 24, 10, 81, 2, 1, 18, 8, 2, 0, 0, 1585, 35, Chargers, 90, 27, 217, 41, 25, 9, 64, 2, 4, 23, 15, 6, 1, 0, 2015, 24
2012-10-18, Seahawks, 136, 29, 115, 23, 9, 3, 20, 0, 1, 13, 13, 4, 1, 0, 1679, 6, 49ers, 175, 32, 138, 23, 14, 5, 40, 0, 1, 18, 11, 3, 0, 0, 1861, 13
2012-10-21, Steelers, 167, 29, 264, 38, 27, 5, 50, 1, 1, 22, 16, 10, 0, 0, 2250, 24, Bengals, 80, 21, 105, 28, 14, 2, 20, 0, 1, 11, 13, 5, 1, 1, 1350, 17
2012-10-21, Browns, 55, 17, 264, 41, 25, 9, 75, 0, 0, 19, 13, 6, 1, 0, 1479, 13, Colts, 148, 37, 173, 29, 16, 7, 50, 1, 0, 21, 15, 6, 1, 1, 2121, 17
2012-10-21, Saints, 81, 26, 377, 37, 27, 7, 55, 0, 1, 23, 15, 9, 0, 0, 1575, 35, Buccaneers, 102, 24, 411, 42, 24, 7, 55, 0, 0, 26, 12, 4, 3, 2, 2025, 28
2012-10-21, Ravens, 55, 12, 121, 43, 21, 5, 56, 0, 2, 12, 15, 4, 1, 0, 1304, 13, Texans, 181, 37, 239, 37, 23, 5, 60, 0, 0, 27, 15, 8, 0, 0, 2296, 43
2012-10-21, Jaguars, 54, 26, 155, 32, 17, 6, 92, 1, 0, 10, 15, 1, 1, 0, 1805, 23, Raiders, 69, 26, 282, 46, 26, 9, 58, 2, 1, 20, 17, 6, 0, 0, 1921, 26
2012-10-21, Redskins, 248, 38, 232, 28, 20, 7, 55, 3, 1, 24, 13, 6, 3, 3, 1963, 23, Giants, 64, 19, 329, 40, 26, 3, 30, 0, 2, 22, 12, 8, 0, 0, 1637, 27
2012-10-21, Packers, 70, 26, 332, 37, 30, 3, 30, 0, 0, 22, 15, 9, 0, 0, 1978, 30, Rams, 108, 22, 246, 34, 21, 6, 30, 0, 1, 19, 11, 4, 3, 1, 1622, 20
2012-10-21, Cowboys, 85, 31, 227, 34, 24, 6, 43, 1, 0, 18, 14, 6, 0, 0, 2017, 19, Panthers, 112, 21, 216, 37, 21, 9, 71, 1, 1, 18, 10, 2, 2, 0, 1583, 14
2012-10-21, Cardinals, 126, 26, 230, 36, 25, 9, 82, 1, 1, 21, 14, 5, 2, 0, 2105, 14, Vikings, 166, 27, 43, 17, 8, 7, 35, 0, 2, 12, 10, 1, 1, 1, 1495, 21
2012-10-21, Jets, 106, 33, 297, 41, 28, 8, 60, 1, 1, 26, 15, 8, 0, 0, 2149, 26, Patriots, 131, 31, 250, 42, 26, 6, 40, 1, 0, 26, 17, 9, 0, 0, 1903, 29
2012-10-21, Titans, 197, 27, 193, 33, 22, 3, 25, 0, 0, 21, 14, 9, 2, 1, 1781, 35, Bills, 166, 24, 216, 35, 27, 8, 65, 1, 1, 22, 12, 7, 1, 0, 1819, 34
2012-10-22, Lions, 97, 18, 243, 46, 28, 5, 47, 3, 1, 21, 13, 4, 1, 0, 1525, 7, Bears, 171, 32, 125, 32, 17, 9, 49, 0, 0, 19, 17, 6, 0, 0, 2075, 13
2012-10-25, Buccaneers, 159, 41, 257, 36, 19, 4, 49, 0, 0, 23, 17, 8, 0, 0, 2265, 36, Vikings, 140, 21, 229, 35, 19, 5, 32, 2, 1, 16, 13, 5, 1, 0, 1335, 17
2012-10-28, Giants, 103, 28, 190, 29, 15, 5, 45, 1, 1, 11, 15, 3, 0, 0, 1662, 29, Cowboys, 19, 17, 415, 62, 36, 2, 10, 2, 4, 28, 14, 7, 2, 1, 1938, 24
2012-10-28, Patriots, 152, 28, 321, 38, 24, 8, 42, 0, 0, 29, 12, 7, 1, 1, 1734, 45, Rams, 107, 23, 219, 32, 23, 12, 102, 0, 2, 17, 10, 3, 3, 1, 1866, 7
